Target Report Table Group,Target Report Table Name,Source Report Table Group,Report Table Name
6G - Product,6G - Supplemental -  Balance Sheet - Counterparty Netting,6G - Order of Allocation,6G - Order of Allocation - PDS Long
6G - Product,6G - Supplemental -  Balance Sheet - Counterparty Netting,6G - Order of Allocation,6G - Order of Allocation - Repo
6G - Product,6G - Supplemental -  Balance Sheet - Counterparty Netting,6G - Order of Allocation,6G - Order of Allocation - Reverse Repo
6G - Product,6G - Supplemental -  Balance Sheet - Counterparty Netting,6G - Order of Allocation,6G - Order of Allocation - Stock Borrow
6G - Product,6G - Supplemental -  Balance Sheet - Counterparty Netting,6G - Order of Allocation,6G - Order of Allocation - Client Short PB
6G - Product,6G - Supplemental -  Balance Sheet - Counterparty Netting,6G - Order of Allocation,6G - Order of Allocation - Client Short WM
6G - Product,6G - Supplemental -  Balance Sheet - Counterparty Netting,6G - Order of Allocation,6G - Order of Allocation - Firm Bank Loans
6G - Product,6G - Supplemental -  Balance Sheet - Counterparty Netting,6G - Order of Allocation,6G - Order of Allocation - NCSA Short
6G - Product,6G - Supplemental -  Balance Sheet - Counterparty Netting,6G - Order of Allocation,6G - Order of Allocation - Stock Loan
6G - Product,6G - Supplemental -  Derivatives & Collateral - Initial Margin Posted - House,6G - Order of Allocation,6G - Order of Allocation - House IM Posted
6G - Product,6G - Supplemental -  Derivatives & Collateral - Initial Margin Received,6G - Order of Allocation,6G - Order of Allocation - House IM Received
6G - Product,6G - Supplemental -  Derivatives & Collateral - Variation Margin Posted - House,6G - Order of Allocation,6G - Order of Allocation - House VM Posted
6G - Product,6G - Supplemental -  Derivatives & Collateral - Variation Margin Posted - House,6G - Order of Allocation,6G - Order of Allocation - House VM Posted Excess
6G - Product,6G - Supplemental -  Derivatives & Collateral - Variation Margin Received,6G - Order of Allocation,6G - Order of Allocation - House VM Received
6G - Product,6G - Supplemental -  Liquidity Risk Measurement - Additional Funding Requirement for Off‐Balance Sheet Rehypothecated Assets,6G - Order of Allocation,6G - Order of Allocation - Client Long PB
6G - Product,6G - Supplemental -  Liquidity Risk Measurement - Additional Funding Requirement for Off‐Balance Sheet Rehypothecated Assets,6G - Order of Allocation,6G - Order of Allocation - Firm Long
6G - Product,6G - Supplemental -  Liquidity Risk Measurement - Additional Funding Requirement for Off‐Balance Sheet Rehypothecated Assets,6G - Order of Allocation,6G - Order of Allocation - On BS Asset Exchange Borrow
6G - Product,6G - Supplemental -  Liquidity Risk Measurement - Additional Funding Requirement for Off‐Balance Sheet Rehypothecated Assets,6G - Order of Allocation,6G - Order of Allocation - PDS Long
6G - Product,6G - Supplemental -  Liquidity Risk Measurement - Additional Funding Requirement for Off‐Balance Sheet Rehypothecated Assets,6G - Order of Allocation,6G - Order of Allocation - Reverse Repo
6G - Product,6G - Supplemental -  Liquidity Risk Measurement - Additional Funding Requirement for Off‐Balance Sheet Rehypothecated Assets,6G - Order of Allocation,6G - Order of Allocation - Stock Borrow
